ayr_scd1,typ_scd1,then_scd1,latest_scd1,ssch_scd1,pub_scd1,ctycd_scd1,cty_scd1,zipcd_scd1,dist_scd1,adr_scd1,nt_scd1,ayr_nt_scd1,tscs_lv7_scd1
103,高級中等學校,383302,383302,市立萬芳高中,公立,38,臺北市,116,文山區,臺北市文山區興隆路3段115巷1號,,,2
103,高級中等學校,383401,383401,市立木柵高工,公立,38,臺北市,116,文山區,臺北市文山區萬芳里木柵路4段77號,,,2
103,高級中等學校,393301,393301,市立南港高中,公立,39,臺北市,115,南港區,臺北市南港區西新里向陽路21號,,,2
103,高級中等學校,393302,393302,市立育成高中,公立,39,臺北市,115,南港區,臺北市南港區重陽路366號,,,2
103,高級中等學校,393401,393401,市立南港高工,公立,39,臺北市,115,南港區,臺北市南港區南港里興中路29號,,,2
103,高級中等學校,401301,401301,私立文德女中,私立,40,臺北市,114,內湖區,臺北市內湖區紫陽里成功路3段70號,,,2
103,高級中等學校,401302,401302,私立方濟中學,私立,40,臺北市,114,內湖區,臺北市內湖區紫星里成功路三段61號,,,2
103,高級中等學校,401303,401303,私立達人女中,私立,40,臺北市,114,內湖區,臺北市內湖區湖濱里內湖路2段314號,,,2
103,高級中等學校,403301,403301,市立內湖高中,公立,40,臺北市,114,內湖區,臺北市內湖區紫陽里文德路218號,,,2
103,高級中等學校,403302,403302,市立麗山高中,公立,40,臺北市,114,內湖區,臺北市內湖區環山路二段100號,,,2
103,高級中等學校,403303,403303,市立南湖高中,公立,40,臺北市,114,內湖區,臺北市內湖區康寧路三段220號,,,2
103,高級中等學校,403401,403401,市立內湖高工,公立,40,臺北市,114,內湖區,臺北市內湖區港墘里內湖路1段520號,,,2
103,高級中等學校,411301,411301,私立泰北高中,私立,41,臺北市,111,士林區,臺北市士林區福林里福林路240號,,,2
103,高級中等學校,411302,411302,私立衛理女中,私立,41,臺北市,111,士林區,臺北市士林區翠山里至善路2段321號,,,2
103,高級中等學校,411303,411303,私立華興中學,私立,41,臺北市,111,士林區,臺北市士林區芝山里仰德大道1段101號,,,2
103,高級中等學校,411401,411401,私立華岡藝校,私立,41,臺北市,111,士林區,臺北市士林區建業路73巷8號,,,2
103,高級中等學校,413301,413301,市立陽明高中,公立,41,臺北市,111,士林區,臺北市士林區後港里中正路510號,,,2
103,高級中等學校,413302,413302,市立百齡高中,公立,41,臺北市,111,士林區,臺北市士林區義信里承德路4段177號,,,2
103,高級中等學校,413401,413401,市立士林高商,公立,41,臺北市,111,士林區,臺北市士林區後港里士商路150號,,,2
103,高級中等學校,421301,421301,私立薇閣高中,私立,42,臺北市,112,北投區,臺北市北投區中心里珠海路50號,依臺北市政府教育局108年1月17日北市教中字第1083007794號函，107年12月20日更名「幼華學校財團法人臺北市幼華高級中等學校」,,2
103,高級中等學校,421302,421302,私立十信高中,私立,42,臺北市,112,北投區,臺北市北投區北投路二段55號,,,2
103,高級中等學校,421404,421404,私立惇敘工商,私立,42,臺北市,112,北投區,臺北市北投區泉源路221號,,,2
103,高級中等學校,423301,423301,市立復興高中,公立,42,臺北市,112,北投區,臺北市北投區復興四路70號,,,2
103,高級中等學校,423302,423302,市立中正高中,公立,42,臺北市,112,北投區,臺北市北投區文林北路77號,,,2
103,高級中等學校,521301,521301,私立明誠高中,私立,52,高雄市,804,鼓山區,高雄市鼓山區中華一路97號,,,2
103,高級中等學校,521303,521303,私立大榮高中,私立,52,高雄市,804,鼓山區,高雄市鼓山區大榮街1號,,,2
103,高級中等學校,521401,521401,私立中華藝校,私立,52,高雄市,804,鼓山區,高雄市鼓山區美術館路89號,,,2
103,高級中等學校,523301,523301,市立鼓山高中,公立,52,高雄市,804,鼓山區,高雄市鼓山區明德路2號,,,2
103,高級中等學校,533301,533301,市立左營高中,公立,53,高雄市,813,左營區,高雄市左營區海功路55號,,,2
103,高級中等學校,533302,533302,市立新莊高中,公立,53,高雄市,813,左營區,高雄市左營區文慈路99號,,,2
103,高級中等學校,533401,533401,市立海青工商,公立,53,高雄市,813,左營區,高雄市左營區左營大路1號,,,2
103,高級中等學校,533402,533402,市立三民家商,公立,53,高雄市,813,左營區,高雄市左營區裕誠路1102號,,,2
103,高級中等學校,540301,540301,國立中山大學附屬國光高中,公立,54,高雄市,811,楠梓區,高雄市楠梓區後昌路512號,,,3
103,高級中等學校,543301,543301,市立中山高中,公立,54,高雄市,811,楠梓區,高雄市楠梓區藍昌路416號,,,3
103,高級中等學校,543302,543302,市立楠梓高中,公立,54,高雄市,811,楠梓區,高雄市楠梓區清豐路19號,,,3
103,高級中等學校,551301,551301,私立立志高中,私立,55,高雄市,807,三民區,高雄市三民區大昌一路98號,,,1
103,高級中等學校,551402,551402,私立樹德家商,私立,55,高雄市,807,三民區,高雄市三民區建興路116號,,,1
103,高級中等學校,553301,553301,市立高雄中學,公立,55,高雄市,807,三民區,高雄市三民區建國三路50號,,,1
103,高級中等學校,553302,553302,市立三民高中,公立,55,高雄市,807,三民區,高雄市三民區金鼎路81號,,,1
103,高級中等學校,553401,553401,市立高雄高工,公立,55,高雄市,807,三民區,高雄市三民區建工路419號,,,1
103,高級中等學校,563301,563301,市立新興高中,公立,56,高雄市,800,新興區,高雄市新興區五福二路218號,,,1
103,高級中等學校,563401,563401,市立高雄高商,公立,56,高雄市,800,新興區,高雄市新興區五福二路3號,,,1
103,高級中等學校,573301,573301,市立高雄女中,公立,57,高雄市,801,前金區,高雄市前金區五福三路122號,,,1
103,高級中等學校,580301,580301,國立高師大附中,公立,58,高雄市,802,苓雅區,高雄市苓雅區凱旋二路89號,,,1
103,高級中等學校,581301,581301,私立復華高中,私立,58,高雄市,802,苓雅區,高雄市苓雅區民權一路42號,,,1
103,高級中等學校,581302,581302,天主教道明中學,私立,58,高雄市,802,苓雅區,高雄市苓雅區建國一路354號,,,1
103,高級中等學校,581401,581401,私立國際商工,私立,58,高雄市,802,苓雅區,高雄市苓雅區三多二路84號,,,1
103,高級中等學校,581402,581402,私立三信家商,私立,58,高雄市,802,苓雅區,高雄市苓雅區三多一路186號,,,1
103,高級中等學校,583301,583301,市立中正高中,公立,58,高雄市,802,苓雅區,高雄市苓雅區中正一路8號,,,1
103,高級中等學校,593301,593301,市立前鎮高中,公立,59,高雄市,806,前鎮區,高雄市前鎮區鎮中路132號,,,4
103,高級中等學校,593302,593302,市立瑞祥高中,公立,59,高雄市,806,前鎮區,高雄市前鎮區班超路63號,,,4
103,高級中等學校,593401,593401,市立中正高工,公立,59,高雄市,806,前鎮區,高雄市前鎮區光華二路80號,1.依高市府教高字第10337129100號函，原市立餐旅國中(613505)自104年8月1日改制。2.依教育部臺教授國部字第1040065702號函，原市立餐旅高級中等學校自104年8月1日改隸國立高雄餐旅大學附屬餐旅高級中等學校,,4
103,高級中等學校,610405,610405,國立高餐大附屬餐旅高級中等學校,公立,59,高雄市,812,小港區,高雄市小港區松和路40號,依高雄市政府教育局109年7月31日高市教高字第10935930800號函同意該校自109學年停止招收新生(109學年已無在學學生)。,,3
103,高級中等學校,611401,611401,私立高鳳工家,私立,61,高雄市,812,小港區,高雄市小港區高松里松崗路119號,,,3
103,高級中等學校,613301,613301,市立小港高中,公立,61,高雄市,812,小港區,高雄市小港區學府路117號,,,3
103,高級中等學校,710301,710301,國立金門高中,公立,71,金門縣,893,金城鎮,金門縣金城鎮光前路94號,,,5
103,高級中等學校,710401,710401,國立金門農工,公立,71,金門縣,891,金湖鎮,金門縣金湖鎮新市里復興路1之11號,,,5
103,高級中等學校,720301,720301,國立馬祖高中,公立,72,連江縣,209,馬祖,連江縣馬祖南竿介壽村374號,"設有高中、高職、國中、國小、幼稚（兒）園 臺北辦事處：11492臺北市內湖區瑞光路669號1樓
電話：02-8797-8550 / 傳真：02-8797-8553",,7
103,台商子女學校,801M01,801M01,東莞台商子弟學校,,,廣東省東莞市,,,廣東省東莞市中堂鎮潢涌區上一村,"設有高中、國中、國小、幼稚（兒）園 臺北辦事處：10696臺北市忠孝東路4段311號2樓之7
電話：02-8771-0912 / 傳真：02-2711-9108",,
103,台商子女學校,801M02,801M02,華東臺商子女學校,,,江蘇省昆山市,,,江蘇省昆山市花橋經濟開發區曹淞路66號,"設有高中、國中、國小、幼稚（兒）園 臺北辦事處：11071臺北市忠孝東路5段31巷18弄5號1樓
電話：02-2761-6762 / 傳真：02-2761-0705",,
103,台商子女學校,801M03,801M03,上海臺商子女學校,,,上海市,,,上海市閔行區華漕鎮金輝路888號,,,
103,海外台灣學校,901S01,901S01,雅加達臺灣學校,,,印尼雅加達,,,"JL. Kelapa Hybrida, Blok QH Kelapa Gading Permai Jakarta 14240, Indonesia",,,
103,海外台灣學校,901S02,901S02,泗水臺灣學校,,,印尼泗水,,,"Diamond Hill Blok DR, 1no. 15A, Citra Raya,Surabaya 60219, Indonesia",,,
103,海外台灣學校,901S03,901S03,吉隆坡臺灣學校,,,馬來西亞雪蘭莪吉隆坡,,,"No.1, Persiaran Sungai Selangor,Bukit Rimau, Seksyen 32, 40460 Shah Alam, Selangor, Malaysia",,,
103,海外台灣學校,901S06,901S06,胡志明市臺灣學校,,,越南胡志明市,,,"Lo S3, Khu A, Do Thi Moi, Nam TP. P. Tan Phu, Q7 Tp. HCM",,107年度後無紀錄,
103,海外台灣學校,901S07,901S07,檳吉臺灣學校,,,馬來西亞檳城州威中縣北賴,,,"No.49, Lorong Kurau Satu, Taman Chai Leng,13700 Perai Tengah, Seberang Perai, Penang, Malaysia",依教育部臺教授國字第1030108451號函，變更校名，刪除「實驗」二字，自104年2月1日生效,,
102,高級中學,010301,010301,國立華僑中學,公立,01,新北市,220,板橋區,新北市板橋區大觀路一段32號,,,2
102,高級中學,011301,011301,私立淡江高中,私立,01,新北市,251,淡水區,新北市淡水區真理街26號,,,2
102,高級中學,011302,011302,私立康橋高中,私立,01,新北市,231,新店區,新北市新店區華城路800號,,,3
102,高級中學,011306,011306,私立金陵女中,私立,01,新北市,241,三重區,新北市三重區重新路五段656號,,,2
102,高級中學,011309,011309,財團法人南山高中,私立,01,新北市,235,中和區,新北市中和區廣福路41號,,,2
102,高級中學,011310,011310,財團法人恆毅高中,私立,01,新北市,242,新莊區,新北市新莊區中正路108號,,,2
102,高級中學,011311,011311,私立聖心女中,私立,01,新北市,249,八里區,新北市八里區龍米路一段263號,,,4
102,高級中學,011312,011312,私立崇義高中,私立,01,新北市,221,汐止區,新北市汐止區大同路三段68號,,,3
102,高級中學,011314,011314,財團法人中華高中,私立,01,新北市,236,土城區,新北市土城區城林路2號,,,3
102,高級中學,011315,011315,私立東海高中,私立,01,新北市,241,三重區,新北市三重區忠孝路三段93巷12號,,,2
102,高級中學,011316,011316,私立格致高中,私立,01,新北市,241,三重區,新北市三重區大智街260號,,,2
102,高級中學,011317,011317,私立醒吾高中,私立,01,新北市,244,林口區,新北市林口區粉寮路一段75巷80號,,,2
102,高級中學,011318,011318,私立徐匯高中,私立,01,新北市,247,蘆洲區,新北市蘆洲區中山一路1號,依新北市政府教育局109年3月24日新北教中字第1090491783號函，核定「新北市崇光女子中學」改名為「天主教崇光學校財團法人新北市崇光高級中學」。,,2
102,高級中學,011322,011322,私立崇光女中,私立,01,新北市,231,新店區,新北市新店區三民路18號,,,3
102,高級中學,011323,011323,私立光仁高中,私立,01,新北市,220,板橋區,新北市板橋區中山路二段255巷18號,,,2
102,高級中學,011324,011324,私立竹林高中,私立,01,新北市,235,中和區,新北市中和區華新街143巷12號,,,2
102,高級中學,011325,011325,私立及人高中,私立,01,新北市,231,新店區,新北市新店區安興路1號,,,3
102,高級中學,011329,011329,財團法人辭修高中,私立,01,新北市,237,三峽區,新北市三峽區溪東路251號,私立時雨國中(011501)改制,,3
102,高級中學,011399,011399,私立時雨高中,私立,01,新北市,244,瑞芳區,新北市瑞芳區銅山里祈堂路217號,,,5
102,高級職校,011405,011405,私立樹人家商,私立,01,新北市,238,樹林區,新北市樹林區大安路216號,,,3
102,高級職校,011407,011407,私立復興商工,私立,01,新北市,234,永和區,新北市永和區秀朗路一段201號,,,1
102,高級職校,011408,011408,私立南強工商,私立,01,新北市,231,新店區,新北市新店區文化路42號,,,3
102,高級職校,011413,011413,私立穀保家商,私立,01,新北市,241,三重區,新北市三重區中正北路560巷38號,,,2
102,高級職校,011419,011419,私立開明工商,私立,01,新北市,231,新店區,新北市新店區寶中路49號,,,3
102,高級職校,011420,011420,私立智光商工,私立,01,新北市,234,永和區,新北市永和區中正路100號,,,1
102,高級職校,011421,011421,私立清傳高商,私立,01,新北市,241,三重區,新北市三重區五谷王北街141巷1號,,,2
102,高級職校,011426,011426,私立能仁家商,私立,01,新北市,231,新店區,新北市新店區文中路53巷10號,,,3
102,高級職校,011427,011427,私立豫章工商,私立,01,新北市,220,板橋區,新北市板橋區四川路一段391號,,,2
102,高級職校,011431,011431,私立莊敬工家,私立,01,新北市,231,新店區,新北市新店區民生路45號,,,3
102,高級職校,011432,011432,私立中華商海,私立,01,新北市,207,萬里區,新北市萬里區瑪鍊路15號,,,5
102,獨立高級中等進修學校及大專附設高職進校,011C71,011C71,私立光華高商進修學校,私立,01,新北市,220,板橋區,新北市板橋區南雅南路二段40號,（102年1月1日改隸新北市政府）,,2
102,高級中學,013303,013303,市立泰山高中,公立,01,新北市,243,泰山區,新北市泰山區辭修路7號,（102年1月1日改隸新北市政府）,,3
102,高級中學,013304,013304,市立板橋高中,公立,01,新北市,220,板橋區,新北市板橋區文化路一段25號,（102年1月1日改隸新北市政府）,,2
102,高級中學,013335,013335,市立新店高中,公立,01,新北市,231,新店區,新北市新店區中央路93號,（102年1月1日改隸新北市政府）,,3
102,高級中學,013336,013336,市立中和高中,公立,01,新北市,235,中和區,新北市中和區連城路460號,（102年1月1日改隸新北市政府）,,2
102,高級中學,013337,013337,市立新莊高中,公立,01,新北市,242,新莊區,新北市新莊區中平路135號,（102年1月1日改隸新北市政府）,,2
102,高級中學,013338,013338,市立新北高中,公立,01,新北市,241,三重區,新北市三重區三信路1號,（102年1月1日改隸新北市政府）,,2
102,高級中學,013339,013339,市立林口高中,公立,01,新北市,244,林口區,新北市林口區仁愛路二段173號,（102年1月1日改隸新北市政府）,,2
102,高級職校,013402,013402,市立瑞芳高工,公立,01,新北市,224,瑞芳區,新北市瑞芳區瑞芳街60號,（102年1月1日改隸新北市政府）,,5
102,高級職校,013430,013430,市立三重商工,公立,01,新北市,241,三重區,新北市三重區中正北路163號,102年1月1日改隸新北市政府，並更名為市立新北高工,,2
102,高級職校,013433,013433,市立新北高工,公立,01,新北市,236,土城區,新北市土城區學府路一段241號,（102年1月1日改隸新北市政府）,,3
102,高級職校,013434,013434,市立淡水商工,公立,01,新北市,251,淡水區,新北市淡水區商工路307號,,,2
102,高級中學,014302,014302,市立海山高中,公立,01,新北市,220,板橋區,新北市板橋區漢生東路215號,,,2
102,高級中學,014311,014311,市立三重高中,公立,01,新北市,241,三重區,新北市三重區集美街212號,,,2
102,高級中學,014315,014315,市立永平高中,公立,01,新北市,234,永和區,新北市永和區永平路205號,,,1
102,高級中學,014322,014322,市立樹林高中,公立,01,新北市,238,樹林區,新北市樹林區中華路8號,,,3
102,高級中學,014326,014326,市立明德高中,公立,01,新北市,237,三峽區,新北市三峽區中正路二段399號,,,3
102,高級中學,014332,014332,市立秀峰高中,公立,01,新北市,221,汐止區,新北市汐止區忠孝東路201號,,,3
102,高級中學,014338,014338,市立金山高中,公立,01,新北市,208,金山區,新北市金山區美田里文化二路2號,,,5
102,高級中學,014343,014343,市立安康高中,公立,01,新北市,231,新店區,新北市新店區安興路25號,,,3
102,高級中學,014347,014347,市立雙溪高中,公立,01,新北市,227,雙溪區,新北市雙溪區梅竹蹊3號,,,6
102,高級中學,014348,014348,市立石碇高中,公立,01,新北市,223,石碇區,新北市石碇區隆盛里八分寮45號,,,6
102,高級中學,014353,014353,市立丹鳳高中,公立,01,新北市,242,新莊區,新北市新莊區龍安路72號,,,2
102,高級中學,014356,014356,市立清水高中,公立,01,新北市,236,土城區,新北市土城區明德路一段72號,,,3
102,高級中學,014357,014357,市立三民高中,公立,01,新北市,247,蘆洲區,新北市蘆洲區三民路96號,,,2
102,高級中學,014362,014362,市立錦和高中,公立,01,新北市,235,中和區,新北市中和區錦和路163號,102學年度光復國中(014563)改制完全中學,,2
102,高級中學,014363,014363,市立光復高中,公立,01,新北市,220,板橋區,新北市板橋區光環路一段7號,101學年度市立竹圍國中(014564)改制為市立竹圍高中,,2
102,高級中學,014364,014364,市立竹圍高中,公立,01,新北市,251,淡水區,新北市淡水區竹林路 35 號,,,2
102,高級職校,014439,014439,市立鶯歌工商,公立,01,新北市,239,鶯歌區,新北市鶯歌區中正三路154號,,,3
102,高級中學,020301,020301,國立蘭陽女中,公立,02,宜蘭縣,260,宜蘭市,宜蘭縣宜蘭市女中路2號,,,4
102,高級中學,020302,020302,國立宜蘭高中,公立,02,宜蘭縣,260,宜蘭市,宜蘭縣宜蘭市復興路三段8號,,,4
